AGENDA - ENTREGA TÉCNICA 2026,,,,,,,,,,,,,,
DATA,DIA ,DIA ,HORA,CHASSI,MODELO,CLIENTE,VENDEDOR,LAVADO,ACES.,ENTREGADOR,MODALIDADE,AGENDAMENTO,STATUS,OBS: PÓS ENTREGA
02/01/2026,sex.,SEX.,14:00,TR022353,31.320,TECPAV TECNOLOGIA E PAVIMENTACAO LTDA,RUI,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
02/01/2026,sex.,SEX.,14:00,TR022786,31.320,TECPAV TECNOLOGIA E PAVIMENTACAO LTDA,RUI,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
05/01/2026,seg.,SEG.,14:00,TR022202,31.320,TECPAV TECNOLOGIA E PAVIMENTACAO LTDA,RUI,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
05/01/2026,seg.,SEG.,14:00,TR022226,31.320,TECPAV TECNOLOGIA E PAVIMENTACAO LTDA,RUI,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
05/01/2026,seg.,SEG.,16:00,TR016047,30.320,DJALMA RIBEIRO DE SOUZA,GUILHERME,LAVADO,,BRUNO MICHEL,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
05/01/2026,seg.,SEG.,16:00,,,EXAMES MEDICOS - WANDERSON,,,,WANDERSON,,CONFIRMADO,CONCLUIDO,
06/01/2026,ter.,TER.,09:00,TR009537,27.260,SEVERINO SARAIVA BARBOSA,PAULO,,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
06/01/2026,ter.,TER.,16:00,TR031161,13.180,FRUTT CENTER DIST.DE POLPAS DE FRUTAS & FRIOS LTDA,RUI,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
06/01/2026,ter.,TER.,16:00,TR031533,17.210,A.M.-DISTRIB. DE POLPAS DE FRUTAS & FRIOS LTDA,RUI,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
07/01/2026,qua.,QUA.,09:00,TR202996,29.530,BRUNO HENRIQUE STABILLE BIZINOTTO,PAULO,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
08/01/2026,qui.,QUI.,09:00,TR202936,29.530,TRANSPORTADORA BJMG LTDA,EURIPEDES,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
08/01/2026,qui.,QUI.,09:00,TR019305,26.260,JEAN CARLOS NUNES LTDA,RUI,LAVADO,,MARCIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
08/01/2026,qui.,QUI.,13:30,TR027246,30.320,J JUNIOR E GOMES,JORGE,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
09/01/2026,sex.,SEX.,16:00,SR034159,18.260,TOPLIMP SERVICOS E TRANSPORTES LTDA,JORGE,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
09/01/2026,sex.,SEX.,16:00,SR033974,18.260,TOPLIMP SERVICOS E TRANSPORTES LTDA,JORGE,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
09/01/2026,sex.,SEX.,A TARDE,TR030481,17.210,MP TRANSPORTE E LOGISTICA LTDA,PAULO,LAVADO,,BRUNO MICHEL,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
09/01/2026,sex.,SEX.,A TARDE,TR028294,26.260,MP TRANSPORTE E LOGISTICA LTDA,PAULO,LAVADO,,MARCIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
13/01/2026,ter.,TER.,13:30,TR006058,18.210,T E T COMERCIO E REPRESENTACAO LTDA,GUSTAVO,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
13/01/2026,ter.,TER.,16:00,TR002862,30.320,CLEAN HIGIENIZACAO LTDA,RUI,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
15/01/2026,qui.,QUI.,13:30,SR042622,9.180,RECOL AMB COL E TRAT DE RESIDUOS LTDA,DOUGLAS,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
15/01/2026,qui.,QUI.,14:00,TR016100,14.210,ZUF FLORESTAS LTDA,LUIZ CLAUDIO,LAVADO,,BRUNO MICHEL,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
15/01/2026,qui.,QUI.,16:00,TR029145,18.260,TECPAV TECNOLOGIA E PAVIMENTACAO LTDA,RUI,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
15/01/2026,qui.,QUI.,16:00,TR029135,18.260,TECPAV TECNOLOGIA E PAVIMENTACAO LTDA,RUI,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
16/01/2026,sex.,SEX.,10:00,TR033601,EXPRESS,ROBOCONTROL,PAULO,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
16/01/2026,sex.,SEX.,13:30,SR018612,11.180,LCJ PARTICIPAÇÕES E SERVIÇOS LTDA,PAULO,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
16/01/2026,sex.,SEX.,16:00,SR018375,11.180,J&F AGROPECUARIA LTDA.,PAULO,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
19/01/2026,seg.,SEG.,16:00,TR202189,28.480,T E T COMERCIO E REPRESENTACAO LTDA,GUSTAVO,LAVADO,,MARCIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
19/01/2026,seg.,SEG.,DE MANHÃ,,,EXAMES PERIODICOS - WANDERSON,,,,WANDERSON,,,CONCLUIDO,
