AGENDA DE ACESSÓRIOS ,,,,,,,,,,,
CHASSI,VEICULO,CLIENTE,ORDEM,LOCAL,VENDEDOR,DT AGENDA,HR AGENDA,PRODUTIVO,VALOR,OS.,ACESSÓRIOS
VR003601,27.320,AGROPECUARIA FAZENDA VEREDAS LTDA,PRONTO,PATIO 1,PAULO,,,BIGODINHO,EXTERNO,381370,"VERNIZ, SOPRADOR, MOEDA"
TR031929,11.180,K-2 TRANSPORTES LTDA,PRONTO,PATIO 1,JORGE,19/05/26,08:00,BIGODINHO,"R$ 5.000,00",381672,"VINIL, MOEDA, SOPRADOR (PRETO OU CINZA) CALHA DE CHUVA, INSUFILME E CHINIL"
TR000100,11.180,JESUS ALIMENTOS,PRONTO,PATIO 1,CLIENTE,46161,"0,4583333333",BIGODINHO,EXTERNO ,381592,TANQUE DE COMBUSTIVEL
TR023583,18.210,PROATIVA ALIMENTOS LTDA,PRONTO,PATIO 1,JORGE,46162,"0,375",BIGODINHO,CORTESIA,,"INSFULME, CHINIL, VINIL E MOEDA"
TR027542,9.180,PWM EMPORIO DAS FRUTAS LTDA,PRONTO,PATIO 1,DOUGLAS,,,BIGODINHO,"R$ 2.000,00",381674,"TAPETES VINIL PRETO, MANGUEIRA DE SOPRAR, INSULFILM , CALHAS DE CHUVAS E CHINIL PAINEL PRETO"
TR031837,11.180,JESUS ALIMENTOS,PRONTO,PATIO 1,CLIENTE,19/05/26,17:00,BIGODINHO,EXTERNO ,381592,TANQUE DE COMBUSTIVEL
TR023747,25.480,VJ TRANSPORTES E LOGISTICA LTDA,PRONTO,PATIO 1,DOUGLAS,20/05/26,16:00,BIGODINHO,"R$ 4.000,00",381300,
TR026494,26.260,STADIUM CONSTRUTORA LTDA,PRONTO,PATIO 1,DOUGLAS,,,BIGODINHO,"R$ 1.000,00",381706,"TAPETE BORRACHA, INSUFILME, SOPRADOR E SOM C/ ALTO FALANTE"
TR007857,26.260,STADIUM CONSTRUTORA LTDA,PRONTO,PATIO 1,DOUGLAS,,,BIGODINHO,"R$ 1.000,00",381563,"TAPETE BORRACHA, INSUFILME, SOPRADOR E SOM C/ ALTO FALANTE"
TR202295,28.480,METEOR BRANCO ADESIVO BRASIL,PRONTO,PATIO 1,GUSTAVO,,,BIGODINHO,CORTESIA,,"DEFLETOR RETRATIL, SAIA LATERAL E PARALAMAS PINTADOS"
TR010911,18.210,IRMAOS GARCIA HORTIFRUTIGRANJEIROS LTDA,PRONTO,ANÁPOLIS,RUI,27/05/26,09:00,BIGODINHO,2000,,"INSUFILME, TAPETES, SOPRADOR E CHINIL"
VR000615,18.260,BUENOS LEITE COMERCIO E TRANSPORTE LTDA,PRONTO,PATIO 1,CARLOS,26/05/26,09:00,BIGODINHO,"R$ 2.000,00",381944,"VINIL, CHINIL, SOM, INSUFILME E MANGUEIRA DE SOPRAR (FALTOU CAPA DO BANCO)"
PQI9A12,24.280,SCHLEICHER & SCHLEICHER LTDA,PRONTO,PATIO 1,,,,BIGODINHO,EXTERNO,382011,"CORTINA, INSULFILME, BUZINA A AR, SOFA CAMA, CALHA DE CHUVA E VINIL"
TR023516,25.480,RE TRANSPORTES LTDA,PRONTO,PATIO 1,,,,BIGODINHO,"R$ 3.000,00",382127,"TAPETES, CHINIL, MANGUEIRA DE SOPRAR E CORTINA"
TR202150,28.480,FERREIRA E FREIRE LTDA,PRONTO,PATIO 1,DOUGLAS,46170,"0,6666666667",BIGODINHO,"R$ 3.000,00",382203,INSULFILME E VINIL
TR031028,26.260,STADIUM CONSTRUTORA LTDA,PRONTO,PATIO 1,DOUGLAS,29/05/26,09:00,BIGODINHO,1000,379421,"TAPETE BORRACHA, SOPRADOR, MANGUEIRA DE SOPRAR E SOM C/ ALTO FALANTE"
VR007364,26.260,ZEMA INDUSTRIAL LTDA,PRONTO,PATIO 1,DOUGLAS,29/05/26,16:00,BIGODINHO,"R$ 980,00",382239,"VINIL, SOM ALTO FALANTE, MANGUEIRA DE SOPRAR E DUAS GARRAFAS"
VR001808,30.320,COOPERATIVA AGROPEC MISTA DE PIRACANJUBA - COAPIL,PRONTO,PATIO 1,LUIZ CLAUDIO,,,BIGODINHO,"R$ 3.000,00",382240,"TAPETES, CHINIL, SOPRADOR E INSULFILME"
