,,,CAMINHÕES ENTREGUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,OS,IMPLEMENTO,,STATUS,CLIENTE,LOCAL,ACES.,PAGO,CAMPANHA,LOCAL,VENDA DT,NF,VENDEDOR,DT ENT.,HR ENT.,,VALOR,OS.,ACESSÓRIOS,06/05/26,13:30,,,,,,,,,,,,,,,
SR031479,9.180,363158,NENHUM,FALSE,ENTREGUE,A G B LOGISTICA LTDA - TFF2A31,CLIENTE,NÃO,PAGO,NÃO TEM,MANSIL - RIO PRETO,07/04/2025,,PAULO,,,,,,"INSULFILM, TAPETES VERNIZ E MOEDA PRETO, CHINIL BANCOS, MANGUEIRA SOPRADOR",06/05/26,13:30,,,,,,,,,,,,,,,
SR031467,9.180,363108,NENHUM,FALSE,ENTREGUE,A G B LOGISTICA LTDA - TFJ3I01,CLIENTE,NÃO,PAGO,NÃO TEM,MANSIL - RIO PRETO,07/04/2025,,PAULO,,,,,,"INSULFILM, TAPETES VERNIZ E MOEDA PRETO, CHINIL BANCOS, MANGUEIRA SOPRADOR",06/05/26,13:30,,,,,,,,,,,,,,,
SR031398,9.180,362899,NENHUM,FALSE,ENTREGUE,A G B LOGISTICA LTDA - TFQ7E01,CLIENTE,NÃO,PAGO,NÃO TEM,MANSIL - RIO PRETO,07/04/2025,,PAULO,,,,,,"INSULFILM, TAPETES VERNIZ E MOEDA PRETO, CHINIL BANCOS, MANGUEIRA SOPRADOR",06/05/26,13:30,,,,,,,,,,,,,,,
TR031533,17.210,375436,NENHUM,FALSE,ENTREGUE,A.M.-DISTRIBUIDORA DE POLPAS DE FRUTAS & FRIOS LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,06/11/2025,707550,RUI,06/01/2026,16:00,,,,,06/05/26,13:30,,,,,,,,,,,,,,,
TR012564,30.320,367426,NENHUM,FALSE,ENTREGUE,ADM TRANSPORTES,CLIENTE,NÃO,PAGO,NÃO TEM,,27/06/2025,693709,LUIS CARLOS,24/07/2025,09:00,,,367575,"EXTERNO 2X BOLETO - TANQUE - R$ 3.800,00 - INTERNO (CLIMATIZADOR,  INSUFILME  CAPA DO BANCO,  CAPA PAINEL,  FORRO DA GABINE E  TAPETES)",,,,,,,,,,,,,,,,,
TR005731,30.320,366210,NENHUM,FALSE,ENTREGUE,ADM TRANSPORTES E LOGISTICA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,VAI VOLTAR,27/03/2025,,GUSTAVO,02/07/2025,10:00,,,,"EXTERNO 2X BOLETO - TANQUE - R$ 3.800,00 - INTERNO (CLIMATIZADOR,  INSUFILME  CAPA DO BANCO,  CAPA PAINEL,  FORRO DA GABINE E  TAPETES)",,,,,,,,,,,,,,,,,
TR003619,26.320,365504,NENHUM,FALSE,ENTREGUE,ADM TRANSPORTES E LOGISTICA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,27/03/2025,,GUSTAVO,06/06/2025,08:00,,,,"EXTERNO 2X BOLETO - TANQUE - R$ 3.800,00 - INTERNO (CLIMATIZADOR,  INSUFILME  CAPA DO BANCO,  CAPA PAINEL,  FORRO DA GABINE E  TAPETES)",,,,,,,,,,,,,,,,,
VR000852,11.180,377984,BAU - FACCHINI,TRUE,ENTREGUE,ADM TRANSPORTES E LOGISTICA LTDA,CLIENTE,P,PAGO,NÃO TEM,,15/01/2026,714037,LUIZ CARLOS,10/03/2026,16:00,,CORTESIA,380098,"CLIMATIZADOR, INSUFILME, CHINIL, TAPETES E PISTOLA DE AR",,,,,,,,,,,,,,,,,
