,,ESTOQUE ,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,COR,DT FATUR.,CLIENTE,LOCAL - HOJE,MOVIMENTAÇÃO DESTINO,DATA SOLICITADA,DATA ENTREGA,DATA DE FAT.,NF,VENDEDOR,PAGO,OS,RECALL,ACESSÓRIOS,TIPO,,OBS,OBS:
TR003306,20.480,BRANCO,05/03/25,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,,
TR010511,18.320,BRANCO GEADA,19/05/25,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,,
TR016518,26.260,BRANCO,23/06/25,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,FROTA 3484 - 24/06/2025 GOIANIA,
TR201766,28.480,BRANCO GEADA,23/06/25,ESTOQUE BELCAR - 23/06/25,ANS,,,,,,,,,,,,,FROTA 3484 - 24/06/2025 GOIANIA,
SR031614,17.230 OD,CINZA,23/06/25,ESTOQUE BELCAR - MARCOPOLO,ANS,,,,,,,,,,,,,MARCOPOLLO - REVISÃO DE ENTREGA DELES - 08/09 - ENVIADO PARA GABARDO A PEDIDO DO FERNANDO,Recebido em 10/09/2025 Ônibus sem kit ferramenta só apenas extintor está faltando estepe
TR022148,9.180,BRANCO,04/08/25,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,,
TR202403,28.480,AZUL,01/09/25,ESTOQUE BELCAR - 01/09/25,ANS,,,,,,,,,,,,,FROTA 62081 - 02/09 - ANS,
TR014312,18.320,BRANCO GEADA,29/09/25,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,,
TR016053,30.320,BRANCO,03/10/25,ESTOQUE BELCAR - 03/10/25,ANS,,,,,,,,,,,,,DESCEU PRANCHA ERRADO 02/10 - ENVIADO P/ ESVAZIAR O PÁTIO 03/10,
TR018092,31.320,BRANCO,03/10/25,ESTOQUE BELCAR ,ANS,,,,,,,,,,,,,DESCEU PRANCHA ERRADO 02/10 - ENVIADO P/ ESVAZIAR O PÁTIO 03/10,
TR025117,9.180,AZUL BISCAY,06/10/25,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,VIAJEM - 62437 - ANS - 07/10,
TR026704,18.210,BRANCO,06/10/25,ETSOQUE BELCAR,ANS,,,,,,,,,,,,,,
TR012411,18.210,AZUL AMBEV,07/10/25,ESTOQUE BELCAR - BAÚ JRV - 07/10/25,ANS,,,,,,,,,,,,,ENVIADO PARA ESVAZIAR O PÁTIO - 07/10,
TR024329,26.260,CINZA ESCURO,13/10/25,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,,
TR028280,26.320,PRATA PYRIT,16/10/25,ESTOQUE BELCAR - 16/10/25,ANS,,,,,,,,,,,,,,
TR002546,26.320,CINZA MOONSTONE,22/10/25,ESTOQUE BELCAR - 22/10/25,ANS,,,,,,,,,,,,,,
TR028921,9.180,VERMELHO RUBI,10/11/25,ESTOQUE BELCAR,PATIO 1,,01/07/2026,,,,,,,,,,,NF. 707213 - DESTINO: ANÁPOLIS - 07/11 - VIAGEM - 62762 - GO - 11/11,
TR018289,31.320,CINZA,20/11/25,ESTOQUE BELCAR - 20/11/25,ANS,,,,,,,,,,,,,NF. 707752 - DESTINO ANÁPOLIS,
TR019413,26.260,VERMELHO COCA,01/12/25,ESTOQUE BELCAR - CARDAN ADICIONAL,ANS,,,,,,,,,,,,,NF. 709440,
TR202267,28.480,BRANCO GEADA,01/12/25,ETSOQUE BELCAR - 01/12/25,ANS,,,,,,,,,,,,,,
TR010633,9.180,VERMELHO MARTE,02/12/25,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,"02/12 - RETIROU O BAU, SEM IMPLEMENTO",
TR202161,28.480,BRANCO GEADA,03/12/25,ESTOQUE BELCAR - 03/12/25,ANS,,,,,,,,,,,,,NF. 709287 - VIAGEM - 62930 - GO - 05/12,
TR017799,26.260,VERMELHO,04/12/25,ESTOQUE BELCAR - CARDAN ADICIONAL,ANS,,,,,,,,,,,,,VIAGEM - 62931 - GO - 05/12,
TR202303,28.480,BRANCO GEADA,04/12/25,ESTOQUE BELCAR - 04/12/25,ANS,,,,,,,,,,,,,VIAGEM - 62928 - GO - 05/12,
TR202218,28.480,BRANCO GEADA,04/12/25,ESTOQUE BELCAR - 04/12/25,ANS,,,,,,,,,,,,,NF. 709082 - VIAGEM - 62950 - GO - 06/12,
TR202305,28.480,BRANCO GEADA,04/12/25,ESTOQUE BELCAR - 04/12/25,ANS,,,,,,,,,,,,,NF. 709511 - VIAGEM - 62945 - ANS - 06/12,
TR202279,28.480,BRANCO GEADA,04/12/25,ESTOQUE BELCAR - 04/12/25,ANS,,,,,,,,,,,,,NF. 709483 - VIAGEM - 62931 - GO - 05/12 ,
TR023274,20.480,BRANCO GEADA,05/12/25,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 710134 - VIAGEM - 63032 - RIO VERDE - 16/12,
TR202263,28.480,BRANCO GEADA,08/12/25,ESTOQUE BELCAR - 08/12/25,ANS,,,,,,,,,,,,,NF. 709613 - VIAGEM - 62687 - VARZEA GRANDE MT - 09/12,
TR203002,29.530,BRANCO,08/12/25,ETSOQUE BELCAR - 08/12/25,ANS,,,,,,,,,,,,,,
TR202311,28.480,BRANCO GEADA,15/12/25,ESTOQUE BELCAR - 15/12/25,ANS,,,,,,,,,,,,,NF. 709837 - VIAGEM - 63023 - ANS - 15/12,
TR032540,9.180,BEGE AGATA,29/12/25,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 711550 - VIAGEM - 63082 - BSB - 26/12,
VR000476,9.180,BRANCO GEADA,16/01/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,VIAGEM - 63195 - GO - 18/01/26,
VR000337,14.210,BRANCO,16/01/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 713701 - VIAGEM - 63195 - GO - 18/01/26,
VR000268,26.260,BRANCO,16/01/26,GOLDMAN,ANS,,,,,,,,,,,,,NF. 713660 - VIAGEM - 63195 - GO - 18/01/26,
VR000193,14.210,BRANCO,16/01/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,,
VR000666,9.180,AZUL AMBEV,19/01/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,VIAGEM - 63211 - GO - 20/01/26,
VR000395,9.180,AZUL NOTURNO,19/01/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,VIAGEM - 63215 - ANS - 20/01/26,
VR000091,14.210,BRANCO,19/01/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,VIAGEM - 63211 - GO - 20/01/26,
VR000392,14.210,BRANCO,19/01/26,"ESTOQUE BELCAR - BAU FACCHINI 6,80 R$ 48.000,00",ANS,,,,,,,,,,,,,ENVIAMOS PARA LIBERAR ESPAÇO NO PATIO 1,
VR001770,31.320,BRANCO GEADA,26/01/26,ESTOQUE BELCAR - 26/01/2026,ANS,,,,,,,,,,,,,NF. 714263,
VR000085,11.180,BRANCO,26/01/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 713999 - REMESSA 11/05/2026,
VR001857,26.320,BRANCO GEADA,13/02/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 714494 - VIAGEM - 63399 - RIO VERDE - 13/02,
VR002799,11.180,PRATA TUNGSTEN,16/02/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 715808,
VR003003,9.180,VERMELHO RUBI,16/02/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 715809,
VR004420,18.260,BRANCO GEADA,16/02/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 716123,
VR002590,30.320,PRATA TUNGSTEN,16/02/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 716128,
VR003003,9.180,AZUL PARAGAS,20/02/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 716082 - VIAGEM 63468 GO 22/02,
VR003964,30.320,AZUL PARAGAS,24/02/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 717280,
VR005512,25.480,AZUL NOTURNO,24/02/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 717260,
VR002630,26.260,PRATA TUNGSTON,25/02/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 717542 ,
VR002639,30.320,PRATA TUNGTEN,26/02/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,FOI COLOCADO NO CHASSI: TR025449 O BAU QUE IA SER COLOCADO NESSE CHASSI - AUTORIZADO GUSTAVO,
VR006171,EXPRESS,BRANCO GEADA,26/02/26,"ESTOQUE BELCAR - BAU FACCHINI 4,20 R$ 28.000,00 ",ANS,,,,,,,,,,,,,,
VR005856,30.320,BRANCO GEADA,28/02/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 718397 - DESTINO ANS,
VR006414,EXPRESS,BRANCO GEADA,04/03/26,"ESTOQUE BELCAR - BAU FACCHINI 4,20 R$ 28.000,00 ",ANS,,,,,,,,,,,,,,
VR203063,29.530,PRATA TUNGSTEN,06/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 719098 - 63929 - 17/04 - ANS,
VR004844,26.320,PRATA TUNGSTEN,10/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 719363 - VIAGEM - 64043 - 01/05,
VR005357,31.320,BRANCO GEADA,11/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 719516 - GABADO RJ,
VR203065,29.530,PRATA TUNGSTEN,46093,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 719158 - VIAGEM 63775 - 23/03/26 BSB,
VR004971,20.480,PRATA TUNGSTTEN,15/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 719831 - VIAGEM - 63817 - RIO VERDE - 03/04/2026,
VR203255,29.530,BRANCO GEADA,23/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 720599,
VR006983,30.320,VERMELHO NOBRE,23/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 720626,
VR203293,29.530,BRANCO GEADA,31/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 722025 - VIAGEM 64011 - 26/04,
VR203353,29.530,BRANCO GEADA,31/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 722010 - GABADO RJ,
