,,ESTOQUE ,,,,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,COR,FATUR. fabri.,CLIENTE,STATUS,LOCAL - HOJE,MOVIMENTAÇÃO DESTINO,DATA SOLIC., ENTREGA,DATA DE FAT.,NF,VENDEDOR,PAGO,ACS.,OS,RECALL,VALOR,ACESSÓRIOS / RECALL,TIPO,STATUS,OBS,OBS:
VR000268,26.260,BRANCO,09/01/26,2H TRANSPORTES E LOGISTICA LTDA,ESTOQUE,ANS,REVISAO DE 6 MESES,,,15/06/2026,1044990,JORGE,NÃO,,,NÃO TEM,,,,,NF. 713660 - VIAGEM - 63195 - GO - 18/01/26,
VR016624,26.260,BRANCO GEADA,21/05/26,2H TRANSPORTES E LOGISTICA LTDA,FATURADO,ANS,,,,18/06/2026,1045616,JORGE,NÃO,NÃO,,NÃO TEM,,,,,NF. 728147,
TR030426,9.180,,18/12/2025,A R SOUSA LTDA ,FATURADO,JRV,REVISAO DE 6 MESES,08/06/2026 - jrv,,18/05/2026,1039978,CRISTIANO,PAGO,A,382651,NÃO TEM,CORTESIA,"VINIL, CHINIL E CALHA DE CHUVA - NÃO COLOCAR MOEDA",,,,
VR004040,11.180,AZUL PARAGAS,23/02/26,ABA MED S.A.,FATURADO,ITUMBIARA,,,,26/06/26,1047207,JOSUE,NÃO,,,NÃO TEM,,,,,NF. 716015 - PRANCHA - 18/02/2026 - EMAIL FABIANO,
VR006171,EXPRESS,BRANCO GEADA,26/02/26,ABA MED S.A.,FATURADO,SHOWROOM,,,,29/06/26,1047531,JOSUE,,NÃO,,NÃO TEM,,,,,,
TR026746,17.230 OD,,14/10/25,AGM CAETANO LTDA,FATURADO,FABRICA,REVISAO DE 6 MESES,,,08/01/2026,1023869,DANIELITON,,,,TEM,,Carta DVM AT 001A-26 - Ação de Campo – Atualização do sistema de freio dos ônibus Euro 6 - Parte 1: Troca do reparo da válvula FAM - 1 Item(s),,,,
VR006576,17.230 OD,,02/04/2026,AGM CAETANO LTDA,VENDA DIRETA,FABRICA,,,,31/03/2026,722455,DANIELITON,,,,NÃO TEM,,,,,,
VR008167,17.230 OD,,30/04/2026,AGM CAETANO LTDA,VENDA DIRETA,FABRICA,,,,30/03/2026,721526,DANIELITON,,,,NÃO TEM,,,,,,
VR001925,17.230 OD,,13/02/2026,AGM CAETANO LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,12/02/2026,716453,DANIELITON,,,,NÃO TEM,,,,,,
VR004718,17.230,SEM COR,23/03/26,AGM CAETANO LTDA,FATURADO,IMPLEMENTADOR,,,,11/06/2026,1044499,DANIELITON,,,,NÃO TEM,,,,,NF. 720577 - ERECHIM - RS - 01/04,
VR008177,17.230 OD,,30/04/2026,AGM CAETANO LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,30/03/2026,721523,DANIELITON,,,,NÃO TEM,,,,,63999 - MARCOPOLO PR -29/04,
VR008097,17.230 OD,,30/04/2026,AGM CAETANO LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,30/03/2026,721524,DANIELITON,,,,NÃO TEM,,,,,22/04/26 - COMIL ,
VR007205,17.230 OD,,30/04/2026,AGM CAETANO LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,30/03/2026,721525,DANIELITON,,,,NÃO TEM,,,,,63940 - ERECHIM RS - 22/04,
