,,,PROGRAMAÇÃO ,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,OS,IMPLEMENTO,,STATUS,CLIENTE,LOCAL,ACES.,PAGO,CAMPANHA,LOCAL,VENDA DT,NF,VENDEDOR,DT ENT.,HR ENT.,,VALOR,OS.,ACESSÓRIOS
SR031467,9.180,363108,NENHUM,FALSE,,A G B LOGISTICA LTDA,JRV,N,,NÃO TEM,JRV,30/01/2025,,GUSTAVO,,,,,,
TR030426,9.180,,,FALSE,,A R SOUSA LTDA ,ANS,S,PAGO,NÃO TEM,,18/05/2026,1039978,CRISTIANO,,,,CORTESIA,,"VINIL, CHINIL E CALHA DE CHUVA - NÃO COLOCAR MOEDA"
TR016634,11.180OD,,NENHUM,FALSE,,AGM CAETANO LTDA,GABARDO RJ,N,,NÃO TEM,,27/10/2025,1006930,DANIELITON,,,,,,
TR026701,17.230 OD,,NENHUM,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,SERVICARGA - SÃO BERNARDO DO CAMPO,04/12/2025,1013654,DANIELITON,,,,,,
TR026746,17.230 OD,,NENHUM,FALSE,,AGM CAETANO LTDA,FABRICA,N,,NÃO TEM,,08/01/2026,1023869,DANIELITON,,,,,,
VR001925,17.230 OD,,NENHUM,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,,12/02/2026,716453,DANIELITON,,,,,,
VR008167,17.230 OD,,,FALSE,,AGM CAETANO LTDA,FABRICA,N,,NÃO TEM,,30/03/2026,721526,DANIELITON,,,,,,
VR008177,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,63999 - MARCOPOLO PR -29/04,30/03/2026,721523,DANIELITON,,,,,,
VR008097,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,22/04/26 - COMIL ,30/03/2026,721524,DANIELITON,,,,,,
VR007205,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,63940 - ERECHIM RS - 22/04,30/03/2026,721525,DANIELITON,,,,,,
VR006576,17.230 OD,,,FALSE,,AGM CAETANO LTDA,FABRICA,N,,NÃO TEM,,31/03/2026,722455,DANIELITON,,,,,,
VR006578,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,64000 - COMIL - 30/04 - 23/04/206,31/03/2026,722456,DANIELITON,,,,,,
VR007004,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,64000 - COMIL - 30/04 - 23/04/206,31/03/2026,722457,DANIELITON,,,,,,
VR008698,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,64004 - COMIL - 30/04 - 23/04/206,31/03/2026,722453,DANIELITON,,,,,,
VR008710,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,N,,NÃO TEM,64004 - COMIL - 30/04 - 23/04/206,31/03/2026,722454,DANIELITON,,,,,,
VR003702,17.230 OD,,,FALSE,,AGM CAETANO LTDA,IMPLEMENTADOR,,,NÃO TEM,SERVICARGA - 09/03,17/04/2026,1035177,DANIELITON,,,,,,
VR003601,27.320,381598,CAÇAMBA - FACCHINI,TRUE,AGENDADO,AGROPECUARIA FAZENDA VEREDAS LTDA,PATIO 1,P,PAGO,NÃO TEM,,12/05/2026,1039076,PAULO,20/05/26,13:30,,,,
TR005515,9.180,,BAU - FACCHINI,FALSE,,AJEL MATERIAIS ELETRICOS LTDA - Ñ PG,PATIO 1,A,NÃO,NÃO TEM,,28/05/2026,1041998,JORGE,,,,"R$ 5.000,00",,"VINIL, MOEDA, CHINIL, MANGUEIRA DE SOPRAR, CALHA E INSUFILME"
TR021510,27.260,,NENHUM,FALSE,,AMAZONAS LOCACOES DE EQUIPAMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - LIEBHERR - GUARATINGUETÁ/SP - 20/08,08/08/2025,697878,ENEIAS,,,,,,
TR021894,27.260,,NENHUM,FALSE,,AMAZONAS LOCACOES DE EQUIPAMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - LIEBHERR - GUARATINGUETÁ/SP - 20/08,08/08/2025,697877,ENEIAS,,,,,,
TR021164,27.260,,NENHUM,FALSE,,AMAZONAS LOCACOES DE EQUIPAMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - LIEBHERR - GUARATINGUETÁ/SP - 20/08,12/08/2025,698059,ENEIAS,,,,,,
TR021599,27.260,,NENHUM,FALSE,,AMAZONAS LOCACOES DE EQUIPAMENTOS LTDA,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - LIEBHERR - GUARATINGUETÁ/SP - 20/08,12/08/2025,698058,ENEIAS,,,,,,
VR003214,26.320,,NENHUM,FALSE,AGENDAR,ARMAZEM DOS MEDICAMENTOS LTDA,PATIO 1,N,PAGO,NÃO TEM,,18/05/2026,1040127,ENEIAS,,,,,,
